scenario,member_id,arm,transactions_12w,activated,opted_out,evidence_label
A_personalisation_works,A-A-00000,A_holdout,6,0,0,CALCULATED
A_personalisation_works,A-A-00001,A_holdout,3,0,0,CALCULATED
A_personalisation_works,A-A-00002,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00003,A_holdout,2,0,0,CALCULATED
A_personalisation_works,A-A-00004,A_holdout,7,0,0,CALCULATED
A_personalisation_works,A-A-00005,A_holdout,2,0,0,CALCULATED
A_personalisation_works,A-A-00006,A_holdout,14,0,0,CALCULATED
A_personalisation_works,A-A-00007,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00008,A_holdout,0,0,0,CALCULATED
A_personalisation_works,A-A-00009,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00010,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00011,A_holdout,11,0,0,CALCULATED
A_personalisation_works,A-A-00012,A_holdout,0,0,0,CALCULATED
A_personalisation_works,A-A-00013,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00014,A_holdout,14,0,0,CALCULATED
A_personalisation_works,A-A-00015,A_holdout,6,0,0,CALCULATED
A_personalisation_works,A-A-00016,A_holdout,9,0,0,CALCULATED
A_personalisation_works,A-A-00017,A_holdout,10,0,0,CALCULATED
A_personalisation_works,A-A-00018,A_holdout,3,0,0,CALCULATED
A_personalisation_works,A-A-00019,A_holdout,2,0,0,CALCULATED
A_personalisation_works,A-A-00020,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00021,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00022,A_holdout,3,0,0,CALCULATED
A_personalisation_works,A-A-00023,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00024,A_holdout,2,0,0,CALCULATED
A_personalisation_works,A-A-00025,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00026,A_holdout,3,0,0,CALCULATED
A_personalisation_works,A-A-00027,A_holdout,8,0,0,CALCULATED
A_personalisation_works,A-A-00028,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00029,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00030,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00031,A_holdout,6,0,0,CALCULATED
A_personalisation_works,A-A-00032,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00033,A_holdout,7,0,0,CALCULATED
A_personalisation_works,A-A-00034,A_holdout,25,0,0,CALCULATED
A_personalisation_works,A-A-00035,A_holdout,0,0,0,CALCULATED
A_personalisation_works,A-A-00036,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00037,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00038,A_holdout,0,0,0,CALCULATED
A_personalisation_works,A-A-00039,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00040,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00041,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00042,A_holdout,0,0,0,CALCULATED
A_personalisation_works,A-A-00043,A_holdout,12,0,0,CALCULATED
A_personalisation_works,A-A-00044,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00045,A_holdout,10,0,1,CALCULATED
A_personalisation_works,A-A-00046,A_holdout,5,0,0,CALCULATED
A_personalisation_works,A-A-00047,A_holdout,6,0,0,CALCULATED
A_personalisation_works,A-A-00048,A_holdout,7,0,0,CALCULATED
A_personalisation_works,A-A-00049,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00050,A_holdout,4,0,0,CALCULATED
A_personalisation_works,A-A-00051,A_holdout,3,0,0,CALCULATED
A_personalisation_works,A-A-00052,A_holdout,9,0,0,CALCULATED
A_personalisation_works,A-A-00053,A_holdout,1,0,0,CALCULATED
A_personalisation_works,A-A-00054,A_holdout,0,0,0,CALCULATED
